x_ethanol,Tbub,y_ethanol,Tdew
0.364701,356.597,0.364701,368.124
0.369839,356.516,0.369839,368.026
0.374935,356.437,0.374935,367.928
0.379991,356.36,0.379991,367.829
0.385006,356.286,0.385006,367.73
0.389982,356.213,0.389982,367.631
0.394919,356.143,0.394919,367.532
0.399817,356.074,0.399817,367.432
0.404676,356.007,0.404676,367.332
0.409498,355.942,0.409498,367.232
0.414282,355.879,0.414282,367.132
0.41903,355.817,0.41903,367.031
0.42374,355.757,0.42374,366.93
0.428415,355.698,0.428415,366.829
0.433054,355.64,0.433054,366.727
0.437657,355.584,0.437657,366.625
0.442226,355.529,0.442226,366.523
0.44676,355.476,0.44676,366.421
0.45126,355.423,0.45126,366.318
0.455726,355.372,0.455726,366.215
0.460159,355.321,0.460159,366.112
0.464558,355.272,0.464558,366.008
0.468925,355.224,0.468925,365.904
0.47326,355.177,0.47326,365.8
0.477563,355.131,0.477563,365.695
0.481835,355.085,0.481835,365.591
0.486075,355.041,0.486075,365.485
0.490284,354.997,0.490284,365.38
0.494463,354.954,0.494463,365.274
0.498612,354.912,0.498612,365.168
0.50273,354.87,0.50273,365.062
0.506819,354.829,0.506819,364.956
0.510879,354.789,0.510879,364.849
0.51491,354.75,0.51491,364.742
0.518912,354.711,0.518912,364.634
0.522886,354.673,0.522886,364.526
0.526832,354.635,0.526832,364.418
0.530751,354.598,0.530751,364.31
0.534642,354.561,0.534642,364.201
0.538505,354.525,0.538505,364.092
0.542342,354.489,0.542342,363.983
0.546152,354.454,0.546152,363.873
0.549936,354.42,0.549936,363.763
0.553694,354.385,0.553694,363.653
0.557426,354.352,0.557426,363.543
0.561133,354.318,0.561133,363.432
0.564814,354.285,0.564814,363.321
0.568471,354.253,0.568471,363.209
0.572102,354.22,0.572102,363.097
0.575709,354.188,0.575709,362.985
0.579292,354.157,0.579292,362.873
0.582851,354.126,0.582851,362.76
0.586386,354.095,0.586386,362.647
0.589898,354.064,0.589898,362.534
0.593386,354.034,0.593386,362.421
0.596852,354.004,0.596852,362.307
0.600294,353.974,0.600294,362.193
0.603714,353.945,0.603714,362.078
0.607112,353.916,0.607112,361.963
0.610487,353.887,0.610487,361.848
0.61384,353.858,0.61384,361.733
0.617172,353.83,0.617172,361.617
0.620482,353.801,0.620482,361.502
0.623771,353.773,0.623771,361.385
0.627039,353.746,0.627039,361.269
0.630286,353.718,0.630286,361.152
0.633512,353.691,0.633512,361.035
0.636718,353.664,0.636718,360.918
0.639903,353.637,0.639903,360.8
